,Nit No.,Title,Last Date,Published On
0,5141,"Providing, Installation, Testing and Commissioning of Automatic Tube Cleaning System for the Condensers of 4 x 450 TR Water Cooled Chiller AC Plant at IIT Delhi",23-10-2025,15-10-2025
1,5142,"Replacement of Condenser Motors of Chiller Plant MSB, IIT Delhi",23-10-2025,16-10-2025
2,5144,Comprehensive annual maintenance contract for 3 X 200 KVA Capacity UPS installed at Lecture Hall Complex at IIT Delhi.,24-10-2025,17-10-2025
3,5119,Tunable Laser Source,17-10-2025,19-09-2025
4,5137,"Providing, Installation, Testing and Commissioning of Cassette type FCU in LHC-534, 535 and 537 at IIT Delhi",21-10-2025,13-10-2025
5,5138,Shifting of the existing lift door upward direction in Block-III and IV in Academic area at IIT Delhi.,21-10-2025,13-10-2025
6,5118,Superconducting Nanowire Single-Photon Detector (SNSPD) System,16-10-2025,18-09-2025
7,5117,Thermal gravimetric analyzer with differential scanning calorimetry (TGA-DSC),16-10-2025,18-09-2025
8,5133,Structural Glazing facade work to prevent rainwater at Front and Rear side opening of SATHI building at Ground Floor Sonipat Campus of IIT Delhi.,16-10-2025,09-10-2025
9,5132,SITC of Split and WAC Units in Labs and Offices in IIT Delhi (ACCR May to Jul 2025),15-10-2025,07-10-2025
10,5131,Providing and Fixing Kota Stone flooring in labs of Textile Department in 99B at IIT Delhi.,14-10-2025,06-10-2025
11,5128,"Supplying, Installation, Testing and Commissioning of 2 Nos 25 KLD Effluent Treatment plant including Comprehensive Operation and Maintenance for 3 years inside IIT Delhi",13-10-2025,30-09-2025
12,5108,Closed Cycle Cryostat,09-10-2025,12-09-2025
13,5105,Manual Wire-bonder,08-10-2025,10-09-2025
14,5103,Electron Beam Lithography System,06-10-2025,08-09-2025
15,5120,Renovation and retrofitting of Type B & C Houses in east campus area at IIT Delhi,06-10-2025,19-09-2025
16,5127,"Major Renovation work in Kitchen, wardrobes and bathrooms of IIA and IIB Type houses (7nos.) at IIT Delhi",06-10-2025,26-09-2025
17,5101,Free Space Laser communication Transceiver Unit,01-10-2025,04-09-2025
18,5124,SITC of Tower Type AC Units in PPMS and Instrumentation Labs of CRF in Sonipat Campus of IIT Delhi (ACCR APR 2025),30-09-2025,23-09-2025
19,5125,Supplying and Laying / Fixing incoming cable from LHC 200 KVA UPS Room to LH538 in Academic area at IIT Delhi.,01-10-2025,24-09-2025
20,5126,Cleaning and Dis-infecting of water tanks (P.V.C/R.C.C/ Steel in different Capacity) in West Campus area at IIT Delhi.,02-10-2025,24-09-2025
21,5104,NVIDIA Ada L40S 48GB GDDR6 GPU Card,29-09-2025,08-09-2025
22,5021,"Day To Day Routine, Preventive and Breakdown Maintenance of AC Units of IIT Delhi ( 2 Years)",29-09-2025,22-09-2025
23,5122,Shifting of the existing lift door upward direction in Block-III and IV in Academic area at IIT Delhi.,29-09-2025,22-09-2025
24,5123,"Providing, Installation, Testing and Commissioning of Variable Speed Drive (VSD) for Cooling Tower Fan Motors of 4 x 450 TR Water Cooled Chiller AC Plant at IIT Delhi",29-09-2025,22-09-2025
25,5109,"Replacement of 5 x 8 Passenger, 1 x 5 Passenger and 2 x 10 Passenger Lifts at different places in IIT Delhi.",25-09-2025,12-09-2025
26,5112,"Renovation and modification of space allotted to JEE office in Synergy Building, Academic Area at IIT Delhi.",24-09-2025,16-09-2025
27,5114,"Providing and laying GI pipeline from Gate No. 3 Road Junction to Directors Lodge, East Campus and HDPE Pipeline (STP line Extension) from Vindhayachal Hostel to Satpura Hostel, west Campus at IIT Delhi.",25-09-2025,17-09-2025
28,5115,Providing and Installation of Conference room Table including misc. civil & electrical works in Academic complex East and West Building at IIT Delhi,24-09-2025,17-09-2025
29,5116,"Providing, Installation, Testing and Commissioning of Automatic Tube Cleaning System for the Condensers of 4 x 450 TR Water Cooled Chiller AC Plant at IIT Delhi",25-09-2025,18-09-2025
30,3,Beautification by Sport themed wall painting of seating area of Basketball court in the Sports complex of IIT Delhi,23-09-2025,16-09-2025
31,5106,Structural Glazing facade work to prevent rainwater at Front and Rear side opening of SATHI building at Ground Floor Sonipat Campus of IIT Delhi.,22-09-2025,11-09-2025
32,5110,"Supply, Installation, Testing and Commissioning of Addressable type fire detection cum alarm and public address system in block - III, IV, V and VI in academic area at IIT Delhi.",22-09-2025,15-09-2025
33,5113,Providing temporary manpower for Administrative Assistant (Estate office) in IIT Delhi.,22-09-2025,16-09-2025
34,5095,SITC of Tower Type AC Units in PPMS and Instrumentation Labs of CRF in Sonipat Campus of IIT Delhi (ACCR APR 2025),19-09-2025,20-08-2025
35,5107,Upgradation of Jogging Track by providing and laying Synthetic Jogging track in Sports complex of IIT Delhi,19-09-2025,11-09-2025
36,5097,10 Gbps LDPC Encoder-Decoder FPGA Solution,17-09-2025,20-08-2025
37,5100,"Providing Exhaust-Scrubber System for 99C-2F, 3F, 4F and 5F Wet Labs, IIT Delhi",15-09-2025,03-09-2025
38,5102,Day-to-day maintenance for water coolers and reverse osmosis system installed in various sites at IIT Delhi.,11-09-2025,04-09-2025
39,5088,Cryogen-free Dilution Refrigerator,09-09-2025,12-08-2025
40,5093,Laying of new proposed storm water drainage network system and allied works in Academic area at IIT Delhi Campus,08-09-2025,14-08-2025
41,5092,Twin Screw Extruder with Micro Doser,03-09-2025,13-08-2025
42,5092,Corrigendum_Twin Screw Extruder with Micro Doser,03-09-2025,18-08-2025
43,5087,Fiber Coupled turnkey Modular Raman and PL Micro spectroscopy system.,01-09-2025,11-08-2025
44,5089,Special Purpose Customized Machine (SPCM) for hydroentanglement process,02-09-2025,12-08-2025
45,5091,Modal Analysis Software,02-09-2025,12-08-2025
46,5094,Renovation and modification works in various labs / committee rooms in academic area at IIT Delhi during the year of 2025-2026 (Phase-I),26-08-2025,18-08-2025
47,5096,"Day To Day Routine, Preventive and Breakdown Maintenance of AC Units of IIT Delhi ( 2 Years)",27-08-2025,20-08-2025
48,5098,"Supply, Installation, Testing and Commissioning of 30.50 mtr Height Flag Post with complete Flag system, using Raising and Lowering type of Flag Mast Tower, including the civil foundation works at Sonipat Campus of IIT Delhi.",28-08-2025,21-08-2025
49,5099,"Providing and Construction of Footpath along the Vaishali Apartment Road to IIT Delhi JNU Gate Road Junction, West Campus, IIT Delhi",02-09-2025,25-08-2025
50,5077,"Reconstruction of Boundary wall, making footpath, laying storm water drainage line and provision of street lights along the Aurobindo Marg boundary wall (from gate no.3 up to the corner of IIT flyover) in the east campus area at IIT Delhi",21-08-2025,01-08-2025
51,5082,A/R and M/O to buildings in Academic Area at IIT Delhi during the year 2024-25,18-08-2025,08-08-2025
52,5083,"Making Ramp and footpath for 99B near staff Canteen,  along play ground up to visitors parking, from Shivalik and Zanskar hostel to chayos crossing at IIT Delhi",18-08-2025,08-08-2025
53,5084,Supply of Manpower for operation and maintenance of Public Health (Water Supply) Services at IIT Delhi,18-08-2025,08-08-2025
54,5086,"Supply of Manpower and Material for Maintenance of Horticulture Work in IIT, Delhi for the year 2025-26.",19-08-2025,11-08-2025
55,5090,Providing temporary manpower for Administrative Assistant (Estate office) in IIT Delh,19-08-2025,12-08-2025
56,5081,SITC of Split and WAC Units in Labs and Offices in IIT Delhi (ACCR May to Jul 2025),18-08-2025,07-08-2025
57,5067,"Comprehensive Maintenance of Civil, Electrical and Air Conditioning work at Hostels (Boys and Girls) under whole campus at IIT Delhi",13-08-2025,23-07-2025
58,5079,"Replacement of defective Cooling Tower in LHC Building, IIT Delhi",13-08-2025,06-08-2025
59,5080,Day-to-day maintenance for water coolers and reverse osmosis system installed in various sites at IIT Delhi,13-08-2025,06-08-2025
60,5067,"Corrigendum-Comprehensive Maintenance of Civil, Electrical and Air Conditioning work at Hostels (Boys and Girls) under whole campus at IIT Delhi",13-08-2025,07-08-2025
61,5075,Laboratory facilities set-up for Optics and Photonics Centre (OPC) at fourth floor of SATHI Building at Sonipat Campus of IIT Delhi,11-08-2025,01-08-2025
62,5076,Day-to-day maintenance for water coolers and reverse osmosis system installed in various sites at IIT Delhi.,08-08-2025,01-08-2025
63,5078,Round the clock operation of 4 x 2000 KVA HT DG sets in IIT Delhi.,08-08-2025,01-08-2025
64,5070,Construction of a Concrete Plate form for Monitoring of Aerosol       Particle at Sonipat Campus of IIT Delhi,07-08-2025,29-07-2025
65,5072,Operating and Maintaining of Central AC Plants of IIT Delhi (02 Years),07-08-2025,29-07-2025
66,5074,Comprehensive maintenance of real time fuel monitoring system in existing DG Sets & newly added HT DG Set at IIT Delhi,07-08-2025,31-07-2025
67,5073,Comprehensive maintenance of real time fuel monitoring system in existing DG Sets and newly added HT DG Set at IIT Delhi.,06-08-2025,30-07-2025
68,5069,"Supply, Installation, Testing and Commissioning of 30.50 mtr Height Flag Post with complete Flag system, using Raising and Lowering type of Flag Mast Tower, including the civil foundation works at Sonipat Campus of IIT Delhi.",01-08-2025,25-07-2025
69,5071,"Providing and Fixing fire retardant low tension electrical flooring in Sahyadri hostel, Himadri hostel and Kailash hostel panel rooms at IIT Delhi.",05-08-2025,29-07-2025
70,5068,"Supplying and fixing of Anticorrosive FRP Coating on MS Condenser Pipe of AC Plants, IIT Delhi",04-08-2025,25-07-2025
71,5065,SITC of VRF / VRV type AC in Different Locations (May-Jul 2025) in IIT Delhi,31-07-2025,23-07-2025
72,5066,PROVIDING CONSULTANCY SERVICES FOR OBTAINING WATER SUPPLY CONNECTION FROM DELHI JAL BOARD INSIDE IIT DELHI,31-07-2025,24-07-2025
73,5059,Laying of new proposed storm water drainage network system and allied works in Academic area at IIT Delhi Campus.,30-07-2025,16-07-2025
74,5063,Replacing existing damaged MDS make loadster type MCB DB in Jwalamukhi and Aravali Hostel west Campus at IIT Delhi.,25-07-2025,18-07-2025
75,5064,"Replacement of Damaged Evaporator (DX) of 16.5 TR Packaged AC Unit and Allied Works, IIT Delhi",25-07-2025,18-07-2025
76,1,Shifting of 50mm Dia. GI Line from IP Apartments to Vaishali reservoir due to construction of new boy's lrostel.,25-07-2025,21-07-2025
77,5060,Construction of cycle stand in Dronagiri & Saptagiri Hostel at IIT Delhi,24-07-2025,16-07-2025
78,5062,SITC of VF Drive for Cooling Tower Fan Motors of SIT Building and CSC Chiller Plant of IIT Delhi.,24-07-2025,17-07-2025
79,5045,"Supply, Installation, Testing and Commissioning of  Specialized Laboratory Furniture, Modular furniture in labs without fume hood including associated civil and electrical works in Academic Complex East (99C) and West (99B) at IIT Delhi",23-07-2025,25-06-2025
80,5055,"Providing Kitchen Ventilation Arrangement in Himadri, Satpura and Zanskar Hostel, IIT Delhi",23-07-2025,11-07-2025
81,5058,"Addition and Alteration Work in MDF, Academic Area, Old Campus and New Campus at IIT Delhi.",23-07-2025,16-07-2025
82,5061,Comprehensive maintenance contract of 16Nos TK Elevator (ThyssenKrupp) Make Lifts installed in Various Building in West Campus at IIT Delhi.,23-07-2025,16-07-2025
83,5021,Surface Plasmon resonance spectroscopy(Binding Affinity Analyzer),21-07-2025,09-06-2025
84,5056,Providing and fixing multi swings in Kendriya Vidyalaya and Nursery School at IIT Delhi,21-07-2025,14-07-2025
85,5057,Construction of a temporary structure for setting up of lab of Department of Textile at Gramoday Parisar at IIT Delhi,22-07-2025,15-07-2025
86,5043,Dual Beam FESEM with Plasma FIB,17-07-2025,20-06-2025
87,5043,Corrigendum_Dual Beam FESEM with Plasma FIB,17-07-2025,26-06-2025
88,5041,High Pressure reactor with controller and accessories,16-07-2025,18-06-2025
89,5045,"Corrigendum-Supply, Installation, Testing and Commissioning of   Specialized Laboratory Furniture, Modular furniture in  labs without fume hood including associated civil &  electrical works in Academic Complex East (99C) and  West (99B) at IIT Delhi.",16-07-2025,03-07-2025
90,5053,"SITC of Centralised Drinking Water Filtration (RO) and Distribution System in SATHI Bldg, Sonipat, IIT Campus",16-07-2025,08-07-2025
91,5054,SITC of Scale Prevention Device in Condenser Pipeline of LHC and SIT Chiller ACs in IIT Delhi,15-07-2025,08-07-2025
92,5052,SITC of Tower Type AC Units in PPMS and Instrumentation Labs of CRF in Sonipat Campus of IIT Delhi (ACCR APR 2025),14-07-2025,07-07-2025
93,5051,Providing childrens Playground Equipment (Jhula)  in west campus  near kendriya bhandar park of  IIT Delhi,11-07-2025,04-07-2025
94,5050,Round the clock operation with rescue operation of lifts including comprehensive annual maintenance contract of lifts in whole campus at IIT Delhi,11-07-2025,04-07-2025
95,5034,EDFA Educational/Training Kit,08-07-2025,17-06-2025
96,5035,Real Time PCR System,08-07-2025,17-06-2025
97,5047,Day to day minor addition and alteration of Electrical installation work in Residential and Hostel located in East Campus at IIT Delhi,09-07-2025,01-07-2025
98,5049,SITC of Timer Panel in Different Department and Labs at IIT Delhi,09-07-2025,02-07-2025
99,5048,"Making Ramp and footpath for 99B near staff Canteen,  along play ground up to visitors parking, from Shivalik and Zanskar hostel to chayos crossing at IIT Delhi.",10-07-2025,03-07-2025
100,5046,"Replacement of 1 x 150 TR Water Cooled Chiller AC of Bharti Bldg., IIT Delhi",07-07-2025,26-06-2025
