,Id,Name,City,State,Score,Rank
0,IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,85.05,1
1,IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,71.00,2
2,IR-O-U-0234,Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,69.25,3
3,IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,69.10,4
4,IR-O-U-0120,University of Delhi,Delhi,Delhi,67.38,5
5,IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,67.28,6
6,IR-O-U-0391,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,67.24,7
7,IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,67.05,8
8,IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,65.42,9
9,IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,65.35,10
10,IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,65.26,11
11,IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,65.08,12
12,IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,65.04,13
13,IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,64.64,14
14,IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,63.14,15
15,IR-O-U-0101,Indian Agricultural Research Institute,New Delhi,Delhi,62.89,16
16,IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,62.87,17
17,IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,61.83,18
18,IR-O-U-0747,Chandigarh University,Mohali,Punjab,61.27,19
19,IR-O-U-0439,Anna University,Chennai,Tamil Nadu,61.22,20
20,IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,60.00,21
21,IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,59.68,22
22,IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,59.20,23
23,IR-O-U-0329,Symbiosis International,Pune,Maharashtra,59.16,24
24,IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,59.05,25
25,IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,58.87,26
26,IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,58.87,26
27,IR-O-U-0458,Kalasalingam Academy of Research and Education,Krishnan Koil,Tamil Nadu,58.37,28
28,IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,58.06,29
